CIP,C,13	CIP7,C,7	PRIX_F,N,10,0	PRIX_E,N,10,0	FAB_HT_F,N,11,0	FAB_HT_E,N,11,0	TAUX,C,3	DATE_APPLI,D	DATE_JO,D
3400931579205	3157920	0	174	0	86	030	02/05/11	06/04/11
3400931579373	3157937	0	246	0	125	030	01/01/12	
3400931579373	3157937	0	228	0	125	030	02/05/11	06/04/11
3400931579724	3157972	0	195	0	86	030	01/01/12	
3400931579724	3157972	0	174	0	86	030	02/05/11	06/04/11
3400931579892	3157989	0	246	0	125	030	01/01/12	
3400931579892	3157989	0	228	0	125	030	02/05/11	06/04/11
3400931580492	3158049	0	195	0	86	030	01/01/12	
3400931580492	3158049	0	174	0	86	030	02/05/11	06/04/11
3400931580553	3158055	0	246	0	125	030	01/01/12	
3400931580553	3158055	0	228	0	125	030	02/05/11	06/04/11
3400931580614	3158061	0	195	0	86	030	01/01/12	
3400931580614	3158061	0	174	0	86	030	02/05/11	06/04/11
3400931580782	3158078	0	246	0	125	030	01/01/12	
3400931580782	3158078	0	228	0	125	030	02/05/11	06/04/11
3400931580904	3158090	0	228	0	125	030	02/05/11	06/04/11
3400931581215	3158121	0	195	0	86	030	01/01/12	
3400931581215	3158121	0	174	0	86	030	02/05/11	06/04/11
3400931581383	3158138	0	246	0	125	030	01/01/12	
3400931581383	3158138	0	228	0	125	030	02/05/11	06/04/11
3400931582045	3158204	0	510	0	328	100	07/03/08	06/03/08
3400931584575	3158457	0	479	0	306	065	01/01/12	
3400931584575	3158457	0	479	0	306	065	07/03/08	06/03/08
3400931585756	3158575	0	252	0	130	065	01/01/12	
3400931585756	3158575	0	235	0	130	065	07/03/08	06/03/08
3400931587538	3158753	0	225	0	109	065	01/01/12	
3400931587538	3158753	0	206	0	109	065	07/03/08	06/03/08
3400931602187	3160218	0	901	0	625	100	28/03/12	27/03/12
3400931602187	3160218	0	589	0	392	100	01/01/12	
3400931602187	3160218	0	599	0	392	100	10/12/09	10/12/09
3400931606550	3160655	0	466	0	296	065	01/01/12	
3400931606550	3160655	0	465	0	296	065	07/03/08	06/03/08
3400931608851	3160885	0	480	0	307	030	01/07/12	11/04/12
3400931608851	3160885	0	550	0	361	030	01/01/12	
